,REVIEW_COMMENT_MESSAGE,SENTIMENT
0,parab ns lojas lannister adorei comprar internet seguro pr tico parab ns todos feliz p scoa,1
1,aparelho eficiente site marca aparelho impresso 3desinfector chegar outro nome ... atualizar marca correta vez aparelho,1
2,pouco travando ... valor ta boa,1
3,vendedor confi vel produto ok entrega antes prazo,1
4,gostaria saber sempre recebi compra agora decpcionou,0
5,compra realizada facilmente entrega efetuada antes prazo dado produto j come usado at presente problemas,1
6,sempre compro internet entrega ocorre antes prazo combinado acredito prazo m ximo stark prazo m ximo j esgotou ainda n recebi produto,0
7,recebi exatamente esperava demais encomendas outros vendedores atrasaram chegou prazo,1
8,t completamente apaixonada loja super respons vel confi vel,1
9,otimo vendedor chegou ate antes prazo adorei produto,1
10,recebi somente 1 controle midea split estilo faltou controle remoto ar condicionado consul,0
11,ocorreu tudo contratado sendo entrega realizada antes prazo satisfeita,1
12,tima loja parceria r pid ssima produtos bem embalados qualidade s custo frete meio azedo,1
13,produto n chegou prazo estipulado causou transtorno pq programei viagem f rias filho baseado prazo moro bahia cuiab sozinho agora casa est vazia,0
14,produto entregue solicitado muita brevidade parab ns,1
15,comprei duas unidades s recebi agora fa,1
16,produto bom m veio mim n condiz foto an ncio,1
17,kit mochila patrulha canina lindo netinho vai amar obrigada,1
18,cumpriu prometido compra entrega tempo satisfat rio,1
19,estao parabens ... sempre chega muiiita antecedencia .. obrigada ....,1
20,produto chegou pc n conseguiu reconhecer portas usb,1
21,produto boa qualidade chegou antes prazo prometido,1
22,"pedido balde 128 pe blocos montar 2 un r 25,00 cada n entregue vendido entregue targaryen tapete eva n letras 36 pe crian 1 un r 35,90 entreg",0
23,comprei tres pacotes cinco folhas cada papel transfer tecido escuro so recebi dois,0
24,faltando apenas produto recebi hoje obrigada tudo certo att elenice,1
25,bolsa t rmica al m linda super espa osa produto acordo anunciado entrega super r pida entregou bem antes prazo,1
26,super rapido entrega .... chegou antes data ...,1
27,entrega dividida duas n comunicado loja cheguei pensar s haviam enviado parte produto,1
28,gostei jogo banho.a estampa florida bordado tudo bonito timo produto,1
29,chegou apenas pe nota garantia constam duas joias,0
30,n recebi produto consta sistema recebi al m pagar caro frete,0
31,comprei rel gio unissex enviaram rel gio feminino bem menor especifica es an ncio,0
32,sempre compro lannister.pra mim melhor loja on-line,1
33,vidro quebrado veio caixa nenhuma prote dentro caixa amassada desculpe .. gosto comprar vcs,1
34,comprei produto dia 25 fevereiro hoje dia 29 marco n entregue resid ncia n sei correios desse brasil p ssimo pr pria loja demorou postar,0
35,fiz compra faz 30 dias n recebi ainda produto precisa melhorar entregas,0
36,espero receber semana n t extravagante m ... atrazo faria desistir baratheon,1
37,entregou prazo certo fiquei feliz compra fiz,1
38,comprei dois lustres pendentes parceira targaryen s enviaram lustre abri reclama ainda n recebi resposta aguardo solu parte lojas lannister,1
39,produto bonito entregue bem valado dentro prazo recomendo,1
40,faltou 1 produto recebi 1 veio quebrado,0
41,chegou dentro prazo produto excelente qualidade acabou dores costas dormindo bem,1
42,aqui est descrevendo entregue s ate agora n recebi,0
43,acho rastreando produto devia melhor preciso geral tima experi ncia,1
44,comprar produto correto capa interno outro.,1
45,fiz pedido 4 garrafas azeite.chegaram 2 dia outras 2 quase 48 horas depois.contato loja dificil tanto via e-mail qto telef.o suspense terminou l n compro,1
46,produto chegou rapido boa qualidade recomendo produto,1
47,n posso aguardando chegada produto comprei logo aconte opini formada,0
48,comprei dois produtos recebi somente mandei dois emails loja n nenhum retorno insatisfeita,0
49,n recomendaria loja pretendo voltar comprar nela.a mercadoria entregue ap s prazo quase 1 m s ap s compra site lannister costumam chegar antes prazo estranhei,1
50,entrega antes prazo produto pr tico f cil manuseio,1
51,otimo produto s nao veio manual problemas,1
52,pe n encaixava di metro diferente serrar martelar poder caber encaixar resto tudo ok,1
53,demora entrega detestei atendimento nunca compro baratheon vendia mesmos bem melhor,0
54,produto n chegou ... segundo rastreio est parado ribeir preto sp ...,0
55,produto deu defeito 1 vez uso,0
56,apesar ter sido entregue rapidamente substitu ram caixa meteoro caixa borne tentei reclamar lannister sistema estaav ar guitarra acess rios corretos,1
57,parab ns loja revendedor apesar ter demorado pouco,1
58,entregue dentro prazo bom per odo validade,1
59,jogo toalhas lindo bonito foto amei,1
60,produto entregue umas al problemas est faltando 1 pino fixa,0
61,marcado dia 14/02 entrega pedido rastreamento marcava produto j havia sido entregue data realidade n entregue produto s entregue dia 28/02,0
62,loja al m frete caro produto leva quase 30 dias teis chegar casa,0
63,recebi bem r pido m veio outro produto n pedi modelo veio diferente cor veio capinha n z per enfim n recomendo,0
64,fiz compra tabela gra deus deu tudo certo fico grato pode confiar,1
65,cancelaram compra dia antes entrega liguei lannister atendentes n sabiam acontecendo bagun agora esperando ver vai cobrado,0
66,produto qualidade efici ncia entrega recebi antes combinado recomendo,1
67,produto bom veio dentro prazo chegou 08 dias est parab ns,1
68,tudo ok baratheon sempre respons vel entregas,1
69,acabento foto bonito chegou sintetico feio acabento todo borrado orrivel nao gostei,0
70,desordenado comprei tr s produtos n veio dia sert es veio separado data separada,0
71,mercadoria certa entregue prazo combinado grata,1
72,fazer compra kit entendi receberia 2 frascos 60 c psulas cada n 2 frascos 60 c psulas total s n vou devolver porque precisando produto,1
73,cada vez compro fico satisfeita parab ns honestidade clientes,1
74,bem rapido entrega bom comprar vcs,1
75,produto n recomendo n ler nenhum dispositivo,0
76,entrega super r pida parab ns,1
77,creme maravilhoso entrega super r pida,1
78,tentando cancelar produto desde antes emiss nota fiscal n avisada correio n nenhuma resposta cancelamento nao consigo devolver,0
79,"boa noite lament vel loja tantas compras ja fiz hoje n satisfa sequer rel gio import ncia 50,00 reais ... produto defeito at agora n deu retor",0
80,capa protetora n exatamente esperava deixa desejar tipo material qualidade,0
81,site produto parece ter melhor qualidade material acabamento,1
82,recebi produto corretamente dentro prazo verificando caixa tudo correto ainda n montei.produto lindo cor perfeita amamos super recomendo,1
83,embalagem deixou desejar pouco produto n danificado caixa toda amassada,1
84,parab ns .produto entregue bem antes prazo.atendeu s necessidades,1
85,produto embalado apenas papel pardo sobre embalagem enviado correios l gico embalagem chegou amassada s deus sabe produto est funcionando n ainda n testei,0
86,acho q deveriam mandar sedex inv s pac,1
87,ltima vez compro pois hoje vai fazer 1 m s fiz comprar nada demorar tempo entregar estarei procurando direitos contra lojas lannister targaryen,0
88,lindo ... s faltou instru es troca pulseiras,1
89,produto exatamente conforme descrito chegou bem antes prazo,1
90,produto chegou bem antes prazo estipulado amei atendimento super recomendo,1
91,n gostei produto material p ssima qualidade,0
92,nao compro lannister parceiro lannister n targaryen jamais uso novamente ler dessa empresa saio correndo absurdo quase m s entregar extra.com ok,0
93,recebi produto dentro prazo informado ainda n utilizei,1
94,recebe apenas 01 pe produto precisando 2 pe restante,1
95,viol comprei lindo m cor adesivo n confere foto ato compra aprovei,1
96,trabalho profissionalismo lojas lannister indico certeza,1
97,mp3 player n funciona trocando pilha diversas vezes devolver,0
98,pr treino bom melhores mercado n melhor,1
99,loja postou produto mediato correio demorou pouco,1
100,sempre compro stark sempre bem atendido site eficiente produtos tima qualidade recomendo todos podem comprar olhos fechados,1
101,bom desde compra entrega td direitinho rapido,1
102,targaryen n confian n entregou compra colocou rastreamento pedido entregue dia 14/12/17 empresa falsa quero receber produtos pagos boleto bancari,0
103,bolsa bonita dentro n forro bem fragil,1
104,instalei cartucho tinta impressora indicou vazio apresentou mensagem erro `` '' cima marcador n vel tinta j solicitei troca,0
105,quanto site n questionar sempre cumprem super combinado ... recomendo sempre produto fraco ..,1
106,n entregue duas capas couro compradas apenas aguardo devolu dinheiro entrega segunda capa,0
107,fiquei feliz tecido acho faltou len ol cima ficar completo espero logo lancem,1
108,alguma confus vendedor stark pois recebi email stark pedindo cancelamento produto algum imprevisto entrega neguei recebi produto dias,1
109,gostei produto chegou tempo certo vendedores est parab ns,1
110,dia 19 maio usei al quebrou peso,0
111,entrega realizado antes previsto bom produto ... satisfeita,1
112,at agora tudo bem esperando entrega produto,1
113,compra ocorreu esperado desde pedido at recebimento produto tudo bem certinho,1
114,gostei produto exatamente boque esperava entrega dentro prazo parab ns recomendo loja,1
115,comprei produto cor preta chegou cor vermelha,0
116,j segunda vez compro nesta loja super eficiente entrega r pida antes prazo contratado produto bem embalado nota 10 obrigado,1
117,comprei produto veio outro mandei msg informando erro m n obtive resposta obrigado,0
118,entrega r pida produto conforme esperado,1
119,tudo anunciado .... timo produto ...,1
120,produto boa qualidade exatamente conforme anunciado pre baixo atrativo,1
121,somente entregue unidade inv s duas,0
122,adorei produto recebi antes prazo combinado ficou bonito,1
123,produtos otimos entrega r pida super recomendo,1
124,recebi sim defeito encaixes sao dois igual nao fecham,0
125,p s venda excelente atrav s sr renato,1
126,gostei produto entrega veio antes prazo recomendo fica bem encaixado celular n tira eleg ncia aparelho outras capas deixam monstruoso tamanho,1
127,at agora nao recebi.comprei aparelho questao saude portanto nao recomendo loja,0
128,recomendo todos produto tima qualidade entregue problemas,1
129,produto chegou dentro prazo veio conforme descri excelente,1
130,produto chegou antes prazo gostei bastante agora rapazinho 3 aninhos vai aproveitar maximo,1
131,gostaria saber chegar produto pois j passou data prevista entrega gostaria resposta aguardando,0
132,parab ns recebi antes prazo tudo correto combinado,1
133,produto entregue difere pedido trata-se produto inferior gostaria solucionado problema n satisfeito procedimento,0
134,comprei produto paguei boleto s recebi metade produto anunciaram coisa mandaram outra insatisfeita,0
135,entrega antes prazo produto bem conservado,1
136,apesar demora expedir nota fiscal expedida entrega r pida produto veio bem embalado recomendo,1
137,comprei produto dia inicio mar n recebi prazo abrindo at protocolo resolverem situa,0
138,n recebi produto assim nenhum contato parte .vendedor,0
139,comprei produto entregue loja ainda n recebi pois assim j passou data entrega,0
140,tima compra timo produto s senti falta algum comunicado compra chegada produto s contato valeu,1
141,veio conforme pedido p s venda n respondeu nenhuma perguntas,0
142,comprei duas mochilas recebi apenas natal est chegando at agora nada,0
143,pre timo prazo entrega longo 1 m s entregar comprei 2 cartuchos entregaram apenas 1 reclamei enviaram outro ainda dentro prazo entrega,1
144,prazo estendido m entregue prazo divulgado propaganda cadeira conforme foto vem montar f cil linda,1
145,simplesmente lindo adorei produto tamanho perfeito j comprei v rias produtos j faz anos compro baratheon,1
146,otimo pre entregou antes prazo produto tima qualidade,1
147,comprei relogio presente natal filho ate agora nao chegou enviei mensagens ultima conversa relogio chegaria ontem porem nao recebi nada,0
148,s poderia entregar r pido fim ano,1
149,produto tima qualidade chegou antes tempo esperado amei 3,1
150,veio bem embalado envio r pido,1
151,satisfeita compra recebimento produto dentro prazo,1
